127.0.0.1 - - [01/Mar/2024:16:09:38 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:09:45 +0530] "GET /Practice/ HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:09:54 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:10:25 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:10:27 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:10:45 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:17:00 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:17:11 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:17:18 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2675
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:18:51 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:18:53 +0530] "POST /Practice/UserListCtl HTTP/1.1" 200 2707
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:19:28 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:21:05 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:26:02 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:26:11 +0530] "POST /Practice/UserListCtl HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:26:28 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:26:33 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:26:41 +0530] "POST /Practice/UserListCtl HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:28:54 +0530] "GET /Practice/index.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:29:05 +0530] "GET /Practice/UserListCtl HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:29:27 +0530] "POST /Practice/UserListCtl HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:29:41 +0530] "POST /Practice/UserListCtl HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:29:45 +0530] "GET /Practice/UserCtl?edit=6 HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [01/Mar/2024:16:29:50 +0530] "POST /Practice/UserCtl HTTP/1.1" 200 1161
